s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
19.036	24.51048027	19.036	16.2544489	19.036	11.10533336
19.136	24.52263147	19.136	16.29134046	19.136	11.14158936
19.236	24.53051267	19.236	16.32039705	19.236	11.19082536
19.336	24.53497787	19.336	16.35952718	19.336	11.25843136
19.436	24.55896307	19.436	16.39641875	19.436	11.29303736
19.536	24.57111427	19.536	16.43241489	19.536	11.33314336
19.636	24.57887347	19.636	16.46057605	19.636	11.39216936
19.736	24.59956467	19.736	16.5045191	19.736	11.43920536
19.836	24.61927987	19.836	16.53973175	19.836	11.49526136
19.936	24.61947507	19.936	16.5725939	19.936	11.53756736
20.036	24.62967427	20.036	16.60556797	20.036	11.59219336
20.136	24.64609547	20.136	16.6478321	20.136	11.64230936
20.236	24.65824667	20.236	16.67375469	20.236	11.68065536
20.336	24.67027587	20.336	16.71142976	20.336	11.72384136
20.436	24.68242707	20.436	16.76589407	20.436	11.77989736
20.536	24.70641227	20.536	16.79495066	20.536	11.82297336
20.636	24.71856347	20.636	16.82098518	20.636	11.87517936
20.736	24.72644467	20.736	16.85608589	20.736	11.92606536
20.836	24.74518387	20.836	16.88905997	20.836	11.97431136
20.936	24.74537907	20.936	16.93300302	20.936	12.02354736
21.036	24.75753027	21.036	16.96810374	21.036	12.06497336
21.136	24.76955947	21.136	16.99637683	21.136	12.10122936
21.236	24.79366667	21.236	17.00998731	21.236	12.14650536
21.336	24.80569587	21.336	17.05829556	21.336	12.20036136
21.436	24.81357707	21.436	17.09126964	21.436	12.24563736
21.536	24.81804227	21.536	17.12637035	21.536	12.29575336
21.636	24.83007147	21.636	17.14456989	21.636	12.33794936
21.736	24.84466267	21.736	17.196236	21.736	12.38333536
21.836	24.85913187	21.836	17.22529258	21.836	12.42036136
21.936	24.86603707	21.936	17.25658774	21.936	12.48972736
22.036	24.86903827	22.036	17.28251033	22.036	12.53940336
22.136	24.88118947	22.136	17.33249751	22.136	12.57565936
22.236	24.88138467	22.236	17.35763661	22.236	12.62775536
22.336	24.90536987	22.336	17.38367113	22.336	12.66412136
22.436	24.91752107	22.436	17.41877184	22.436	12.70939736
22.536	24.92955027	22.536	17.46271489	22.536	12.76325336
22.636	24.95365747	22.636	17.49568897	22.636	12.79389936
22.736	24.96141667	22.736	17.51377659	22.736	12.83015536
22.836	24.95404787	22.836	17.55279479	22.836	12.88412136
22.936	24.96851707	22.936	17.58576887	22.936	12.92939736
23.036	24.98054627	23.036	17.61706402	23.036	12.98325336
23.136	25.00465347	23.136	17.64690411	23.136	13.01785936
23.236	25.00484867	23.236	17.68222868	23.236	13.06093536
23.336	25.01687787	23.336	17.70893477	23.336	13.11314136
23.436	25.03671507	23.436	17.73093987	23.436	13.14939736
23.536	25.04118027	23.536	17.76391395	23.536	13.19852336
23.636	25.05747947	23.636	17.807857	23.636	13.24467936
23.736	25.06109067	23.736	17.83210067	23.736	13.28533536
23.836	25.07751187	23.836	17.86115726	23.836	13.32379136
23.936	25.09198107	23.936	17.89804882	23.936	13.36466736
24.036	25.10413227	24.036	17.93314954	24.036	13.42545336
24.136	25.09993547	24.136	17.95526657	24.136	13.45400936
24.236	25.11635667	24.236	17.98824065	24.236	13.49631536
24.336	25.12850787	24.336	18.03251948	24.336	13.55314136
24.436	25.14053707	24.436	18.04758503	24.436	13.59159736
24.536	25.13646227	24.536	18.08055911	24.536	13.63082336
24.636	25.14092747	24.636	18.10558628	24.636	13.67312936
24.736	25.16503467	24.736	18.15087247	24.736	13.71928536
24.836	25.17279387	24.836	18.17992906	24.836	13.76852136
24.936	25.16969507	24.936	18.19712124	24.936	13.79696736
25.036	25.19185027	25.036	18.23009532	25.036	13.83718336
25.136	25.21583547	25.136	18.2630694	25.136	13.89620936
25.236	25.21603067	25.236	18.29828204	25.236	13.92168536
25.336	25.22293587	25.336	18.32028714	25.336	13.96311136
25.436	25.21398107	25.436	18.35326122	25.436	14.01476736
25.536	25.22613227	25.536	18.3862353	25.536	14.05762336
25.636	25.25255747	25.636	18.41047897	25.636	14.09607936
25.736	25.26556267	25.736	18.44345305	25.736	14.13310536
25.836	25.26722187	25.836	18.46545815	25.836	14.17629136
25.936	25.27937307	25.936	18.51074434	25.936	14.21947736
26.036	25.29908827	26.036	18.5314063	26.036	14.25397336
26.136	25.29159747	26.136	18.56438038	26.136	14.31002936
26.236	25.30374867	26.236	18.59343697	26.236	14.34452536
26.336	25.31589987	26.336	18.61062915	26.336	14.38386136
26.436	25.32609907	26.436	18.64360323	26.436	14.42396736
26.536	25.33056427	26.536	18.66169084	26.536	14.47617336
26.636	25.34271547	26.636	18.68067388	26.636	14.50472936
26.736	25.35474467	26.736	18.73379506	26.736	14.55385536
26.836	25.35493987	26.836	18.75188267	26.836	14.58626136
26.936	25.36709107	26.936	18.77780526	26.936	14.61866736
27.036	25.39107627	27.036	18.80204893	27.036	14.66394336
27.136	25.38700147	27.136	18.83502301	27.136	14.70712936
27.236	25.39146667	27.236	18.86799709	27.236	14.74855536
27.336	25.39166187	27.336	18.89224076	27.336	14.77788136
27.436	25.41576907	27.436	18.92129734	27.436	14.82623736
27.536	25.42779827	27.536	18.93636289	27.536	14.86249336
27.636	25.42799347	27.636	18.98243258	27.636	14.90952936
27.736	25.44246267	27.736	19.00667625	27.736	14.94633536
27.836	25.45461387	27.836	19.02868135	27.836	14.98116136
27.936	25.46249507	27.936	19.05068646	27.936	15.02643736
28.036	25.45500427	28.036	19.07974304	28.036	15.05884336
28.136	25.46715547	28.136	19.1118217	28.136	15.10411936
28.236	25.46735067	28.236	19.14087828	28.236	15.13652536
28.336	25.47937987	28.336	19.1581824	28.336	15.18048136
28.436	25.50263307	28.436	19.18500042	28.436	15.22718736
28.536	25.50124227	28.536	19.2179745	28.536	15.25574336
28.636	25.51339347	28.636	19.2407631	28.636	15.28121936
28.736	25.50931867	28.736	19.27508031	28.736	15.33034536
28.836	25.51378387	28.836	19.29932398	28.836	15.37650136
28.936	25.54020907	28.936	19.32144102	28.936	15.40417736
29.036	25.53613427	29.036	19.33952863	29.036	15.43273336
29.136	25.54718747	29.136	19.38033769	29.136	15.48570936
29.236	25.55506867	29.236	19.41152091	29.236	15.52713536
29.336	25.57905387	29.336	19.42972045	29.336	15.55569136
29.436	25.57497907	29.436	19.45564305	29.436	15.59414736
29.536	25.57944427	29.536	19.49477318	29.536	15.62270336
29.636	25.57963947	29.636	19.52371784	29.636	15.67567936
