Cycle: 5  MBP-L-111  2000 nM_X	Cycle: 5  MBP-L-111  2000 nM_Y	Cycle: 6  MBP-L-111  1000 nM_X	Cycle: 6  MBP-L-111  1000 nM_Y	Cycle: 8  MBP-L-111  250 nM_X	Cycle: 8  MBP-L-111  250 nM_Y	Cycle: 9  MBP-L-111  62.5 nM_X	Cycle: 9  MBP-L-111  62.5 nM_Y	Cycle: 10  MBP-L-111  15.6 nM_X	Cycle: 10  MBP-L-111  15.6 nM_Y	Cycle: 11  MBP-L-111  3.9 nM_X	Cycle: 11  MBP-L-111  3.9 nM_Y	Cycle: 13  MBP-L-111  250 nM_X	Cycle: 13  MBP-L-111  250 nM_Y	Cycle: 14  MBP-L-111  0.98 nM_X	Cycle: 14  MBP-L-111  0.98 nM_Y
-58.685	-2.23E-03	-58.686	-3.92E-03	-58.686	-0.0530128	-58.686	-4.66E-03	-58.686	-0.0140572	-58.686	1.18E-03	-58.686	0.0941124	-58.686	0.0470238
-58.66	-0.0115929	-58.661	5.46E-03	-58.661	-0.0623894	-58.661	-5.05E-03	-58.661	-0.0144463	-58.661	0.0105553	-58.661	0.0937233	-58.661	0.0466347
-58.635	-0.0115929	-58.636	5.46E-03	-58.636	-0.0623894	-58.636	-5.05E-03	-58.636	-4.68E-03	-58.636	0.0105553	-58.636	0.0937233	-58.636	0.0466347
-58.61	-0.0115929	-58.611	5.46E-03	-58.611	-0.0623894	-58.611	-5.05E-03	-58.611	-4.68E-03	-58.611	0.0105553	-58.611	0.0937233	-58.611	0.0466347
-58.585	-0.0117803	-58.586	5.46E-03	-58.586	-0.0623894	-58.586	-5.05E-03	-58.586	-4.68E-03	-58.586	0.0105553	-58.586	0.0937233	-58.586	0.0466347
-58.56	-0.0162876	-58.561	7.72E-04	-58.561	-0.0670762	-58.561	-9.73E-03	-58.561	-9.37E-03	-58.561	5.87E-03	-58.561	0.0890365	-58.561	0.0419478
-58.535	-0.0164757	-58.536	-2.02E-04	-58.536	-0.0672722	-58.536	-9.93E-03	-58.536	-9.56E-03	-58.536	5.67E-03	-58.536	0.0888405	-58.536	0.0515175
-58.51	-0.0164757	-58.511	-9.19E-03	-58.511	-0.0672722	-58.511	-9.93E-03	-58.511	-0.0103416	-58.511	5.67E-03	-58.511	0.0888405	-58.511	0.0515175
-58.485	-0.0164608	-58.486	-9.19E-03	-58.486	-0.0672722	-58.486	-0.0107079	-58.486	-0.0193291	-58.486	5.67E-03	-58.486	0.0880623	-58.486	0.0507393
-58.46	-0.0159135	-58.461	-8.82E-03	-58.461	-0.0668986	-58.461	-0.0193217	-58.461	-0.0189555	-58.461	6.05E-03	-58.461	0.0794485	-58.461	0.0421255
