Cycle:_4_1C-3_0.1_nM_X_time,(RU),Cycle:_5_1C-3_1_nM_X_time,(RU),Cycle:_6_1C-3_10_nM_X_time,(RU),Cycle:_7_1C-3_1000_nM_X_time,(RU)
-48.264,0.0328674,-48.264,0.0668945,-48.264,0.0102539,-48.264,0.035553
-48.164,0.0328674,-48.164,0.0668945,-48.164,0.0102539,-48.164,0.035553
-48.064,0.0328674,-48.064,0.0668945,-48.064,0.0102539,-48.064,0.035553
-47.964,0.0426331,-47.964,0.0668945,-47.964,0.0102539,-47.964,0.0257874
-47.864,0.0426331,-47.864,0.0766602,-47.864,0.0102539,-47.864,0.0257874
-47.764,0.0426331,-47.764,0.0766602,-47.764,0.0102539,-47.764,0.0257874
-47.664,0.0426331,-47.664,0.0766602,-47.664,0.0102539,-47.664,0.0257874
-47.564,0.0426331,-47.564,0.0766602,-47.564,0.0102539,-47.564,0.0257874
-47.464,0.0426331,-47.464,0.0766602,-47.464,0.0102539,-47.464,0.0257874
-47.364,0.0426331,-47.364,0.0766602,-47.364,0.0102539,-47.364,0.0257874
-47.264,0.0426331,-47.264,0.0766602,-47.264,0.0102539,-47.264,0.0257874
-47.164,0.0426331,-47.164,0.0766602,-47.164,0.0102539,-47.164,0.0257874
-47.064,0.0426331,-47.064,0.0766602,-47.064,0.0102539,-47.064,0.0257874
-46.964,0.0426331,-46.964,0.0766602,-46.964,0.0102539,-46.964,0.0257874
-46.864,0.0426331,-46.864,0.0766602,-46.864,0.0102539,-46.864,0.0257874
-46.764,0.0426331,-46.764,0.0731506,-46.764,0.0102539,-46.764,0.0257874
-46.664,0.0426331,-46.664,0.0668945,-46.664,0.0102539,-46.664,0.0257874
-46.564,0.0523987,-46.564,0.0766602,-46.564,0.0200195,-46.564,0.035553
-46.464,0.0523987,-46.464,0.0766602,-46.464,0.0200195,-46.464,0.0390625
-46.364,0.0523987,-46.364,0.0766602,-46.364,0.0200195,-46.364,0.0418091
-46.264,0.0523987,-46.264,0.0766602,-46.264,0.0200195,-46.264,0.0390625
-46.164,0.0426331,-46.164,0.063385,-46.164,0.01651,-46.164,0.0320435
-46.064,0.0426331,-46.064,0.0571289,-46.064,0.000488281,-46.064,0.0257874
-45.964,0.0523987,-45.964,0.0668945,-45.964,0.0102539,-45.964,0.035553
-45.864,0.0523987,-45.864,0.0766602,-45.864,0.0102539,-45.864,0.035553
-45.764,0.0523987,-45.764,0.0766602,-45.764,0.0102539,-45.764,0.035553
-45.664,0.0523987,-45.664,0.0766602,-45.664,0.0102539,-45.664,0.035553
-45.564,0.0523987,-45.564,0.0766602,-45.564,0.0200195,-45.564,0.035553
-45.464,0.0523987,-45.464,0.0766602,-45.464,0.0102539,-45.464,0.035553
-45.364,0.0523987,-45.364,0.0766602,-45.364,0.0102539,-45.364,0.035553
-45.264,0.0523987,-45.264,0.0766602,-45.264,0.0102539,-45.264,0.0390625
-45.164,0.0523987,-45.164,0.0766602,-45.164,0.0102539,-45.164,0.0453186
-45.064,0.0523987,-45.064,0.0766602,-45.064,0.0102539,-45.064,0.0453186
-44.964,0.0559082,-44.964,0.0766602,-44.964,0.0200195,-44.964,0.0453186
-44.864,0.0621643,-44.864,0.0766602,-44.864,0.0200195,-44.864,0.0453186
-44.764,0.0621643,-44.764,0.0766602,-44.764,0.0200195,-44.764,0.0453186
-44.664,0.0523987,-44.664,0.0668945,-44.664,0.0102539,-44.664,0.035553
-44.564,0.0523987,-44.564,0.0668945,-44.564,0.0102539,-44.564,0.035553
-44.464,0.0523987,-44.464,0.0668945,-44.464,0.0102539,-44.464,0.035553
-44.364,0.0523987,-44.364,0.0668945,-44.364,0.0102539,-44.364,0.035553
-44.264,0.0523987,-44.264,0.0668945,-44.264,0.0102539,-44.264,0.035553
-44.164,0.0523987,-44.164,0.0668945,-44.164,0.0102539,-44.164,0.035553
-44.064,0.0523987,-44.064,0.0668945,-44.064,0.0102539,-44.064,0.035553
-43.964,0.0523987,-43.964,0.0668945,-43.964,0.0102539,-43.964,0.035553
-43.864,0.0523987,-43.864,0.0668945,-43.864,0.00674438,-43.864,0.035553
-43.764,0.0523987,-43.764,0.0668945,-43.764,0.000488281,-43.764,0.035553
-43.664,0.0523987,-43.664,0.0668945,-43.664,0.000488281,-43.664,0.035553
-43.564,0.0523987,-43.564,0.0668945,-43.564,0.000488281,-43.564,0.035553
-43.464,0.0523987,-43.464,0.0668945,-43.464,0.000488281,-43.464,0.035553
-43.364,0.0523987,-43.364,0.0668945,-43.364,0.000488281,-43.364,0.035553
-43.264,0.0523987,-43.264,0.0626831,-43.264,0.000488281,-43.264,0.035553
-43.164,0.0523987,-43.164,0.0551758,-43.164,0.000488281,-43.164,0.035553
-43.064,0.0523987,-43.064,0.0551758,-43.064,0.000488281,-43.064,0.0453186
-42.964,0.0523987,-42.964,0.0551758,-42.964,0.000488281,-42.964,0.0453186
-42.864,0.0523987,-42.864,0.0551758,-42.864,0.000488281,-42.864,0.0453186
-42.764,0.0523987,-42.764,0.0551758,-42.764,0.000488281,-42.764,0.0453186
-42.664,0.0523987,-42.664,0.0551758,-42.664,-0.00302124,-42.664,0.0453186
-42.564,0.0523987,-42.564,0.0551758,-42.564,-0.00927734,-42.564,0.0453186
-42.464,0.0523987,-42.464,0.0551758,-42.464,-0.00927734,-42.464,0.0453186
-42.364,0.0523987,-42.364,0.0551758,-42.364,-0.00927734,-42.364,0.0453186
-42.264,0.0523987,-42.264,0.0551758,-42.264,-0.00927734,-42.264,0.0453186
-42.164,0.0523987,-42.164,0.0551758,-42.164,-0.00927734,-42.164,0.0453186
-42.064,0.0523987,-42.064,0.0551758,-42.064,-0.00927734,-42.064,0.0453186
